gene	recessive	dominant	adult_onset
DOCK1	0	0	0
GPR68	0	0	0
CTRC	0	1	1
BCL7A	0	0	0
NIDDM2	0	1	0
KAT6A	0	1	0
KAT5	0	0	0
SGCD	1	1	0
DFNA7	0	1	0
DIO2	0	0	0
MYBL2	0	0	0
SLC39A7	0	0	0
HSD17B8	1	0	0
RRBP1	0	0	0
KARS	1	0	0
LUZP1	0	0	0
TDG	0	0	0
OXCT1	1	0	0
TCEA1	0	0	0
NR2C2	0	0	0
RNU4ATAC	1	0	0
RNU6ATAC	0	0	0
UPF1	0	1	0
TRA-TGC7-1	0	0	0
TRR-TCG4-1	0	0	0
SKP1	0	0	0
SKP1P2	0	0	0
SKP2	0	0	0
FCGRT	0	0	0
ABCC9	1	1	0
DGKE	1	0	1
DGKZ	0	0	0
CFL1	0	0	0
CFL2	1	0	0
BLOC1S1	0	0	0
NDUFB9	1	1	1
USP5	0	0	0
NPAT	0	0	0
PSORS3	0	0	0
MMRN1	0	1	0
IBD2	0	0	0
PNOC	0	0	0
SLCO2A1	1	0	0
ATOH1	0	0	0
HAS1	0	0	0
AFF3	0	0	0
DGUOK	1	1	1
MAD2L1	0	0	0
MAT2A	0	0	0
PTH2R	0	0	0
CX3CR1	1	1	0
MBS2	0	1	0
ZNF75A	0	0	0
PWP2	0	0	0
LAPTM5	0	0	0
MYO1A	0	1	0
MYO1E	1	0	0
MYO1F	0	0	0
MYO10	0	1	0
DR1	0	0	0
PEG3	0	0	0
SELENOP	0	0	0
STX1B	0	1	0
DAZL	0	0	0
PPARG	1	1	1
NCF4	1	0	0
IGFALS	0	0	0
NFE2	0	0	0
IPW	0	0	0
GFRA1	0	0	0
BAG1	0	0	0
PEX6	1	0	0
RIEG2	0	1	0
SMO	1	1	0
VPS35	0	1	1
FCGR1B	0	0	0
FCGR1CP	0	0	0
SEC14L1	0	0	0
ZNF146	0	0	0
SEPT2	0	0	0
AP3S1	0	0	0
GGH	0	0	0
SCAP	0	0	0
STAT5A	0	1	0
STAT6	0	1	0
FGF12	0	0	0
FGF11	0	0	0
FGF14	0	1	0
SF1	0	0	0
ATXN2	1	1	1
ATP5ME	0	0	0
CCL17	0	0	0
ESM1	0	0	0
GRB7	0	0	0
GRB10	0	0	0
GRB14	0	0	0
CHI3L1	1	1	0
CHI3L2	0	0	0
ALX1	1	0	0
VEGFC	0	1	0
NR2C1	0	0	0
SQSTM1	0	1	1
LTB4R	0	0	0
CASP6	0	1	0
ADAM2	0	0	0
KCNJ3	0	0	0
EFNA5	0	0	0
PROP1	1	0	0
BRD2	0	0	0
BRD3	0	0	0
PITX2	1	1	0
PAFAH1B1	0	0	0
PROX1	0	0	1
EFEMP1	0	1	0
DYNLT1	0	0	0
RND2	0	0	0
ATXN1	1	1	1
ACACB	0	0	0
RBPMS	0	0	0
DYNLL1	0	0	0
PRSS2	0	1	1
IRF8	1	1	0
ING1	1	0	0
LMAN1	1	0	0
ADD3	0	0	0
UBE2G1	0	0	0
WNT7A	1	0	0
CAPZA2	0	0	0
CAPZB	0	0	0
EZH2	1	1	0
TAF15	0	0	0
FOSL2	0	0	0
PTPRS	0	0	0
PTPRCAP	0	0	0
CCNG1	0	0	0
OAZ1	0	0	0
CAPZA1	0	0	0
NRCAM	0	0	0
INPP5D	0	0	0
PTP4A2	0	0	0
PTP4A1	0	0	0
PTGER4	0	0	0
RASA2	0	0	0
EVPL	0	1	0
PRKG2	1	0	0
RAPSN	1	0	0
BARD1	1	1	0
JARID2	0	0	0
SMAD1	0	1	0
BTG2	0	0	0
PTPRD	0	0	0
SSPN	1	0	0
ETV5	0	0	0
TFAP2B	0	1	0
TFAP2C	0	0	0
LCP2	0	0	0
IL12RB1	1	1	0
SMARCB1	1	1	0
HADH	1	0	0
BTN1A1	0	0	0
SLC14A2	0	0	0
CXCR5	0	0	0
NTN1	0	0	0
ABCA3	1	0	0
RDH5	1	1	0
SOX18	1	1	0
RALGDS	0	0	0
TBX5	0	1	0
TBX3	0	1	0
TWIST1	1	1	0
UBE3A	1	1	0
FCN2	0	0	0
ART1	0	0	0
SMN2	1	1	1
PCP4	0	0	0
POU4F1	0	0	0
NSF	0	0	0
HAS2	0	0	0
CYP51A1	0	0	0
ARFIP2	0	1	0
PRKACA	0	1	0
ACOX2	0	0	0
IL12RB2	0	0	0
PPP2R5A	0	0	0
PPP2R5B	0	1	0
PPP2R5C	0	1	0
PPP2R5D	0	1	0
PPP2R5E	0	0	0
PSMD4	0	0	0
NAP1L4	0	0	0
MYOC	1	1	1
EYA1	1	1	0
EYA2	0	0	0
EYA3	0	0	0
GATA6	1	1	1
EPYC	0	0	0
OC90	0	0	0
GATD3A	0	0	0
UBE2I	0	0	0
ALCAM	0	0	0
ESR2	0	1	0
SNRNP200	0	1	0
IDDM15	0	0	0
ANGPT1	0	0	0
DPF1	0	0	0
DPF2	0	0	0
DPF3	0	0	0
ELAVL2	0	0	0
EZH1	0	0	0
NDUFA5	0	0	0
GTF2I	0	1	0
PSMC5	0	0	0
GLC1C	0	1	1
COQ7	1	0	0
RPS6KA1	0	0	0
RPS6KA2	0	0	0
TEP1	0	0	0
KRT12	0	1	0
HPGD	1	1	0
TAF4B	1	0	0
PLA2G7	1	1	0
ABCA4	1	1	1
TGFBI	1	1	0
UCP2	0	0	0
CSN3	0	0	0
SERPINB8	0	0	0
PTPRN2	0	0	0
PTGIS	1	1	0
ROCK1	0	1	0
VASP	0	0	0
CXCL9	0	0	0
EIF5	0	0	0
TRAF1	0	0	0
BIRC2	0	0	0
GMFB	0	0	0
TEAD4	0	0	0
STAU1	0	0	0
STXBP2	0	0	0
TBX4	0	1	0
KIN	0	0	0
BIRC3	0	0	0
FZD5	0	0	0
NEUROD1	1	1	1
NEUROD2	0	0	0
NEUROG1	0	0	0
PTEN	1	1	1
TEAD2	0	0	0
PIGC	0	0	0
ATIC	1	0	0
SMARCC1	0	0	0
MGST2	0	0	0
SMARCC2	0	0	0
SMARCD1	0	0	0
SMARCD2	0	0	0
SMARCD3	0	0	0
EXTL1	0	0	0
MEIS1	1	1	0
MEIS2	0	1	0
CUL5	0	0	0
TRIM28	0	0	0
OSMR	0	1	0
KCNK1	0	0	0
HYOU1	0	0	0
TRIM23	0	0	0
GTF2H2	1	0	0
GLMN	0	1	0
GTF2H3	0	0	0
MCHR1	0	0	0
ENTPD1	1	1	0
PPID	0	0	0
UFD1	0	0	0
ESS2	0	0	0
GALNT3	1	1	0
PEX7	1	1	0
PEX12	1	0	0
GTF2H4	0	0	0
CASP7	0	1	0
CASP10	0	1	1
CASP8	1	1	0
FZD9	0	0	0
HIP1	1	1	0
SH3GL1	0	1	0
VDR	1	1	0
NPY6R	0	0	0
CYP1B1	1	1	1
H2AFX	0	0	0
PTPRN	0	0	0
MGAT5	0	0	0
POLRMT	1	1	0
TESK1	0	0	0
MAP6	0	0	0
ASIC2	0	0	0
PMM2	1	0	0
PMM1	0	0	0
TAF5	0	0	0
MSTN	1	0	0
PEX13	1	0	0
NPY4R	0	0	0
PEX14	1	0	0
PPP1R2	0	0	0
MAPK3	0	0	0
TAF4	0	0	0
CRYBG1	0	0	0
GNPDA1	0	0	0
SERPINB9	0	0	0
SP2	0	0	0
HESX1	1	1	0
SP3	0	0	0
GPER1	0	0	0
MCM6	1	1	1
MMP19	0	1	0
DNA2	1	1	1
FXYD2	0	1	0
NME3	0	0	0
NME4	0	0	0
BPTF	0	0	0
RNY1	0	0	0
RNY3	0	0	0
RNY4	0	0	0
RNY5	0	0	0
NDUFS7	1	0	0
DGKD	0	0	0
NR4A2	0	1	0
HIST2H2BE	0	0	0
RPL29	0	0	0
AIF1	0	0	0
CCR8	0	0	0
CCR6	0	0	0
KIFAP3	0	0	0
LIG4	0	1	0
ITPK1	0	0	0
EPHB3	0	0	0
SERPINA5	0	0	0
SLC5A5	1	0	0
WNK4	1	1	0
GSC2	0	0	0
MDRV	0	1	1
TOMM20	0	0	0
CLOCK	0	1	0
ICAM5	0	1	0
DGKG	0	1	0
ARHGEF1	0	0	0
ZNF211	0	0	0
CLGN	0	0	0
HSD17B4	1	0	0
RFXAP	1	0	0
RFX5	1	0	0
PLOD2	1	0	0
SEMA4D	0	0	0
ATP1B3	0	0	0
METAP2	0	0	0
CSRP2	0	0	0
SLC7A2	0	0	0
B4GALNT1	1	0	0
ELL2	0	0	0
LEFTY2	0	0	0
KLF10	0	0	0
LGALS9	0	0	0
CX3CL1	0	0	0
RAX	1	0	0
DFFA	0	0	0
DFFB	0	0	0
ASCL2	0	0	0
MHS6	0	0	0
NBEAP1	0	0	0
PTK7	0	0	0
CST6	0	0	0
KPNA3	0	0	0
TRIO	0	1	0
TRAF2	0	1	0
TRAF3	0	1	0
ZNF148	0	0	0
GHSR	1	1	0
STAM	0	0	0
IRF4	0	1	0
SLC8A2	0	0	0
ORC1	1	1	0
UGT2B17	0	0	0
RABGGTA	1	0	0
WNT10B	1	1	0
NEO1	0	0	0
GPR20	0	0	0
GPR21	0	0	0
GPR22	0	0	0
DLX4	0	1	0
SUMO1	0	0	0
ASNA1	0	0	0
PRELP	0	0	0
TIMP4	0	0	0
MANF	0	0	0
ALDH3B2	0	0	0
GDF9	0	0	0
F2RL2	0	0	0
JAG1	1	1	0
ANGPT2	0	0	0
COPA	0	1	0
ARHGDIA	1	0	0
THRSP	0	0	0
KRT86	1	1	0
ATP2A3	0	0	0
BNC1	0	0	0
BCL2L2	0	0	0
MUC8	0	0	0
CRY1	0	1	0
GPS1	0	0	0
GPS2	0	0	0
PAWR	0	0	0
NCOA3	0	1	0
SRPK1	0	0	0
SRSF4	0	0	0
IDDM6	0	0	0
SRSF9	0	0	0
SRSF6	0	0	0
SFSWAP	0	0	0
SOX12	0	0	0
CACNB4	0	1	0
ZFPM1	0	0	0
CLK1	0	0	0
CCNH	0	1	0
CDK7	0	1	0
GFRA2	0	0	0
CACNB3	0	0	0
NEK4	0	0	0
CCL20	0	0	0
PRMT2	0	0	0
TAPBP	1	0	0
TTC1	0	0	0
DNAJC7	0	0	0
S1PR3	0	0	0
RSC1A1	0	0	0
WNT7B	0	0	0
WNT2B	0	0	0
DMBT1	0	0	0
VIPR2	0	0	0
RORB	0	0	0
RARRES2	0	0	0
S1PR1	0	1	0
PKP1	0	0	0
SIGMAR1	1	0	0
LIPF	0	0	0
RNASE6	0	0	0
OGG1	1	0	0
MAP4K1	0	0	0
NCOA4	0	0	0
CCDC6	0	0	0
CPT1B	0	0	0
LIMK2	0	0	0
S100A13	0	0	0
TP73	0	1	0
NOVA2	0	0	0
FRDA2	1	0	0
NCOA2	0	0	0
TNR	0	0	0
BID	0	0	0
ESRRA	0	0	0
LHX1	0	0	0
POLR1B	0	0	0
NPY5R	0	0	0
ZYX	0	0	0
LRMP	0	0	0
PTK6	0	0	0
SORL1	0	0	0
MAPKAPK2	0	0	0
CRKL	0	0	0
IPO5	0	0	0
COX6A2	0	0	0
SRSF11	0	0	0
ST11	0	0	0
ENTPD2	0	0	0
POLR2G	0	0	0
ODF2	0	0	0
KLF2	0	0	0
PSMB1	0	0	0
NRTN	0	0	0
SQLE	0	0	0
MAFG	0	0	0
PPP1R12A	0	0	0
MALL	0	0	0
CLCNKB	1	1	0
CLCNKA	1	0	0
PHYH	1	0	0
TERF2	0	1	0
FUT7	0	0	0
PGGT1B	0	0	0
EML1	0	1	0
CRHR2	0	0	0
PPP4C	0	0	0
RHOH	0	0	0
DUSP8	0	0	0
EIF3A	0	0	0
NCAM2	0	0	0
NKX3-1	0	0	0
GPR18	0	0	0
GPR31	0	0	0
UCP3	1	1	0
RING1	0	0	0
PDIA3	0	0	0
PDE3B	0	0	0
RAC1	0	1	0
RAC2	0	1	0
RAC3	0	0	0
PIN1P1	0	0	0
GAK	0	0	0
KLF6	1	1	0
TBX1	1	1	0
INSIG1	0	0	0
DEFB1	0	0	0
SERPINB10	0	0	0
ISLR	0	0	0
TMPRSS2	1	0	0
EREG	0	0	0
NINJ1	0	0	0
TALDO1	1	0	0
IMPA1	0	0	0
ADARB2	0	0	0
NRP1	0	1	0
NRP2	0	0	0
COX6A1	1	0	1
DAP3	0	0	0
SATB1	0	0	0
TRPV1	0	0	0
ARVD3	0	1	0
ARVD4	0	1	0
LTBP3	1	0	0
LTBP2	1	0	0
SLC30A4	1	0	0
AD5	0	1	0
USH1E	1	0	0
PLK1	0	0	0
PKNOX1	0	0	0
CLDN5	0	0	0
SUPT5H	0	0	0
TRAPPC10	0	0	0
SH3BP2	0	1	0
MSH4	0	0	0
KCNJ15	0	0	0
MATN2	0	0	0
MATN3	1	1	0
SLC29A2	0	0	0
MPPED1	0	0	0
KMT2D	0	1	0
FGF10	0	1	0
YEATS4	0	0	0
NDN	0	1	0
CHD1	0	0	0
CHD2	0	1	0
CHD3	0	0	0
DIAPH1	1	1	0
SRP72	0	1	1
CAMK2G	0	0	0
DYT7	0	1	1
COX10	1	0	0
ZBTB14	0	0	0
SMTN	0	0	0
GAS2L1	0	0	0
MYO9B	0	0	0
MAPKAPK3	0	1	0
PHLDA2	0	0	0
MIA2	0	0	0
PFAS	0	0	0
ETM2	0	1	0
DNALI1	0	0	0
PEX1	1	0	0
NDUFA2	1	0	0
NDUFA6	0	0	0
NDUFA7	0	0	0
NDUFB8	0	0	0
NDUFS8	1	0	0
PLCD1	1	1	0
TP53BP2	0	0	0
BRDT	0	0	0
PA2G4	0	0	0
LHX4	0	1	0
SOX1	0	0	0
PITX1	0	1	0
SNAI2	1	1	0
DVL2	0	0	0
KRT81	1	1	0
UBXN8	0	0	0
NOVA1	0	0	0
CLNS1A	0	0	0
CORO2A	0	0	0
TFDP2	0	0	0
PSME2	0	0	0
SYCP1	0	0	0
UBE2E2	0	0	0
HTR4	0	0	0
TRIM27	0	0	0
AP3B2	0	0	0
ESRRB	1	0	0
VRK1	1	0	0
VRK2	0	0	0
MYD88	1	1	0
GPA33	0	0	0
CYP8B1	0	0	0
SEC62	0	0	0
GPR25	0	0	0
PSMB2	0	0	0
PSMB3	0	0	0
PSMB4	0	0	0
CHAD	0	0	0
HSPB2	0	0	0
SIPA1	0	0	0
SND1	0	0	0
ENPP3	0	0	0
NKX3-2	1	0	0
NDUFV3	1	0	0
VGF	0	0	0
ZNF195	0	0	0
EPHA4	0	0	0
RGS3	0	0	0
EPHA7	0	0	0
ELF3	0	0	0
ADAM10	0	1	0
SLC29A1	0	0	0
HTRA1	1	1	1
HSPB1	1	1	0
CDK2AP1	0	0	0
ECM1	1	1	0
DDOST	1	0	0
SLN	0	0	0
BICD1	0	0	0
RAB17	0	0	0
RAB18	1	1	0
KCNJ10	1	1	0
RREB1	0	0	0
EIF3E	0	0	0
FOXD2	0	0	0
SIAH1	0	1	0
SIAH2	0	0	0
CSNK1G2	0	0	0
DEFB4A	0	0	0
STK11	1	1	0
SDCBP	0	0	0
SALL1	0	1	0
SALL2	1	0	0
RASL10A	0	0	0
ZMYM2	0	0	0
EIF4EBP1	0	0	0
EIF4EBP2	0	0	0
CRX	1	1	0
CD180	0	0	0
CCL19	0	0	0
TCF7L2	0	1	1
SOX10	0	1	0
SH3BGR	0	0	0
SUMO3	0	0	0
KCNQ3	0	1	0
APAF1	1	0	0
CASP9	0	0	0
KCNQ2	1	1	0
EXOSC2	0	0	0
CYP26A1	0	0	0
ZKSCAN8	0	0	0
MIPEP	0	0	0
AP2S1	0	1	0
CD151	1	1	0
DNASE1L3	1	0	0
GTPBP1	0	0	0
ZSCAN9	0	0	0
TNFRSF9	0	0	0
TIMM10	0	0	0
KLF4	0	0	0
SRRD	0	0	0
STK25	0	0	0
PPEF2	0	0	0
SCARB2	1	0	0
TTC3	0	0	0
PER1	1	1	0
MMP15	0	0	0
MMP16	0	0	0
SPOCK1	0	0	0
NEDD9	0	0	0
ADAM8	0	0	0
AOC2	0	0	0
ARVCF	0	0	0
ATOX1	0	0	0
TCF4	1	1	0
GALNT1	0	0	0
GALNT2	0	0	0
GUCA1B	0	1	0
TADA2A	0	0	0
ZNF184	0	0	0
NEDD4	0	1	0
PABPN1	1	1	1
TULP1	1	1	0
MFGE8	0	1	0
LPAR1	0	0	0
CCL8	0	0	0
BMP8B	0	0	0
MMP17	0	0	0
SC5D	1	1	0
ERP29	0	0	0
RTKN	0	0	0
DRAP1	0	0	0
TRIM32	1	0	0
FOXJ1	1	0	0
ECHS1	1	0	0
CIB1	0	0	0
FOXA1	0	1	0
FOXA3	0	0	0
AP4M1	1	0	0
EFNB3	0	0	0
RAB7A	0	1	0
GAL3ST1	0	0	0
KAT2A	0	0	0
HR	1	1	0
KAT2B	0	0	0
NR1D2	0	0	0
RGL2	0	0	0
WWP1	0	0	0
WWP2	0	0	0
TULP2	0	0	0
RBMS1	0	0	0
AGRP	1	1	0
OVOL1	0	1	0
LAD1	0	0	0
MAP2K3	0	0	0
PRDX6	0	0	0
STAC	0	0	0
MTERF1	0	0	0
NELL1	1	0	0
NELL2	0	0	0
GSTK1	0	0	0
TERC	1	1	1
KCNJ12	0	0	0
HNRNPH3	0	0	0
EIF4G2	0	1	0
RPL23A	0	0	0
PSD	0	0	0
SEL1L	0	1	0
ABLIM1	0	0	0
ORC5	0	0	0
NCAPH	0	0	0
EMP1	0	0	0
EMP2	1	0	0
EMP3	0	0	0
ROR1	1	1	0
ROR2	1	1	0
PRPF4B	0	0	0
SLC15A2	0	0	0
FOXM1	0	1	0
TRPC1	0	0	0
PAFAH2	0	0	0
TRPC3	1	1	1
CNTNAP1	1	0	0
SNAPC3	0	0	0
NTN3	0	1	0
NRGN	0	0	0
CMKLR1	0	0	0
GNRH2	0	0	0
TGFB1I1	0	0	0
LAT	0	1	0
TRAF6	0	1	0
TRAF5	0	0	0
WIPF1	0	0	0
HCRT	1	1	0
FXYD1	0	0	0
GATM	1	0	0
RANGAP1	0	0	0
CTSW	0	0	0
CTSC	1	1	0
ILK	1	0	0
NPTX1	0	0	0
GRID2	1	0	0
CCN1	0	0	0
GML	0	0	0
ACSL3	0	0	0
ZAN	0	0	0
CNN2	0	0	0
CNN3	0	0	0
MRPL12	0	0	0
IFNAR2	1	1	0
DNM1	0	1	0
DNM2	1	1	0
UPK1B	0	0	0
NAB2	0	0	0
PLD1	0	0	0
OGN	0	0	0
PLD2	0	0	0
SULT1C2	0	0	0
ZNF212	0	0	0
RBMS2	0	0	0
SYMPK	0	0	0
TUFM	0	0	0
PEMT	0	0	0
HCRTR1	0	0	0
HCRTR2	1	0	0
NOLC1	1	1	0
GPAM	0	0	0
ANXA8	0	0	0
ATP8B1	1	1	0
MAPK12	0	0	0
FOXC2	0	1	0
BLMH	0	0	0
PARK3	0	1	0
HAND1	0	0	0
HAND2	0	0	0
NR1D1	0	0	0
MLLT10	0	1	0
BRPF1	0	0	0
EXTL2	0	0	0
RPS24	0	1	0
SDHC	1	1	1
APBA1	0	0	0
DTNB	0	0	0
AP3S2	0	0	0
EGR3	0	0	0
KCNA10	0	0	0
CFTR	1	1	1
SLBP	0	0	0
NR1H3	0	1	0
DMRT1	0	0	0
MAP3K4	0	0	0
NVL	0	0	0
TBX6	1	1	0
HAS3	0	0	0
GLC1D	0	1	1
ROBO1	0	0	0
ROBO2	0	1	0
OPTN	1	1	1
AUP1	0	0	0
PPIE	0	0	0
MICB	0	0	0
GCHFR	0	0	0
HSF4	1	1	0
CISH	0	1	0
ITSN1	0	0	0
XPNPEP1	0	0	0
ZNF354A	0	0	0
SERPINI1	0	1	0
GPC5	0	0	0
PON2	0	0	0
MAP3K5	0	1	0
AKAP1	0	0	0
P2RY6	0	0	0
BUB1	0	0	0
ITGAD	0	0	0
PTPRU	0	0	0
FADD	1	0	0
SORT1	0	1	0
POU4F3	0	1	0
SIRPA	0	0	0
CRMP1	0	0	0
DPYSL2	0	1	0
TRAF4	0	0	0
SPRY1	0	0	0
SPRY2	0	1	0
PPP1R9A	0	0	0
FOLR3	0	0	0
PSCA	0	0	0
PKMYT1	0	0	0
FEB2	0	1	0
TRDMT1	0	0	0
POU3F1	0	0	0
POU3F3	0	0	0
POP1	0	0	0
RIDA	0	0	0
CYTH2	0	0	0
KHDRBS1	0	0	0
NRIP1	0	0	0
PTX3	0	0	0
UVRAG	0	0	0
CCL23	0	0	0
CCL24	0	0	0
MPST	0	0	0
TFG	1	1	1
GOLGB1	0	0	0
GOLGA1	0	1	0
FRAT1	0	0	0
SHOX2	0	0	0
PXN	0	1	0
RNF103	0	0	0
PAFAH1B2	0	0	0
GOLGA4	0	0	0
PTPRH	0	0	0
RGS12	0	0	0
RGS14	0	0	0
RGS16	0	0	0
GPLD1	0	0	0
RGS4	0	0	0
RGS7	0	0	0
LGALS4	0	0	0
USP7	0	0	0
MAP2K5	0	0	0
MAPK7	0	0	0
DSCAM	0	1	0
PDK1	0	0	0
PDK2	0	0	0
PDK4	0	0	0
TUBA3C	0	0	0
TUBA1A	0	1	0
TUBA1B	0	0	0
RNF217-AS1	0	0	0
PARK7	1	0	0
SNAP23	0	0	0
RAB3GAP1	1	0	0
CAPN5	0	1	0
CELF2	0	1	0
MAP3K3	0	0	0
BTF3	0	0	0
BTF3P11	0	0	0
PRKN	1	1	1
PTPRK	0	0	0
ST8SIA2	0	0	0
ST8SIA4	0	0	0
OPRL1	0	0	0
PKN2	0	0	0
ARNTL	0	1	0
NUP88	0	0	0
XPO1	0	1	0
NKX6-1	0	0	0
CCL25	0	0	0
P2RX7	0	0	0
LIMS1	0	0	0
MTRR	1	1	0
SNCB	0	1	0
JAG2	0	0	0
RBM4	0	0	0
ANXA11	0	0	0
ANXA13	0	0	0
TECTA	1	1	0
LMX1B	1	1	0
LFNG	1	0	0
MFNG	0	0	0
RFNG	0	0	0
GOLGA2	0	0	0
GOLGA3	0	0	0
DTX1	0	0	0
GPR37	1	0	0
RCN2	0	0	0
ACOT7	0	0	0
FUT8	0	0	0
PAK1	0	0	0
KIF2A	0	1	0
CD5L	0	0	0
CDSN	1	1	0
RP22	1	0	0
GEMIN2	0	0	0
BCL9	0	0	0
HPGDS	0	0	0
LRP8	0	0	0
OLR1	0	0	0
SECTM1	0	0	0
MAGOH	0	0	0
CARTPT	1	1	0
SLC22A1	0	0	0
SLC22A2	0	0	0
PIK3C3	0	0	0
PIK3R4	0	0	0
MAP3K7	0	1	0
TAB1	0	1	0
MGAT2	1	0	0
FOXE1	1	1	0
CTBP1	0	0	0
CTBP2	0	0	0
LGMN	0	0	0
CXADR	0	0	0
DNASE1L2	0	1	0
FKBP5	0	0	0
MAGI1	0	0	0
IL1RAP	0	0	0
CDC6	1	0	0
FOXN3	0	0	0
TGIF1	0	1	0
SLC22A18	1	1	0
PODXL	0	1	0
FHL2	0	0	0
DNAJB9	0	0	0
DEAF1	1	1	0
PPP1R8	0	0	0
SPP2	0	0	0
MCM4	1	0	0
HYD2	1	0	0
NAALADL1	0	0	0
EIF4A1	0	0	0
TNFSF11	1	1	0
TNFRSF11B	1	0	0
TSPAN4	0	0	0
SEMA3C	0	0	0
GPR35	0	0	0
NXF1	0	1	0
ACKR2	0	0	0
CIRBP	0	0	0
SPOP	0	1	0
NRDC	0	0	0
KLK6	0	0	0
TECTB	0	0	0
FARP1	0	0	0
SLC4A1AP	0	0	0
NTHL1	1	0	0
PDE2A	0	0	0
MNAT1	0	0	0
TUBB4B	0	0	0
TUBB3	1	1	0
TUBB4A	0	1	0
PRLH	0	0	0
CASP4	0	0	0
CASP5	0	0	0
MYO15A	1	0	0
NBN	1	1	1
PITX3	1	1	0
POLE2	0	0	0
SLC37A4	1	0	0
RAB13	0	0	0
KLK10	0	0	0
RNPEP	0	0	0
PDE6D	1	0	0
RNF5	0	0	0
MARK3	0	0	0
PCYT2	0	0	0
ARHGAP5	0	0	0
FOXO3	0	1	0
ADGRB1	0	0	0
ADGRB2	0	0	0
ADGRB3	0	0	0
MAD1L1	1	1	0
HNRNPAB	0	0	0
FSCN1	0	0	0
SDHD	1	1	1
NCOA1	0	1	0
GLIPR1	0	0	0
MCM3	1	0	0
NDUFS4	1	1	1
TNFSF12	0	1	0
MCM5	0	0	0
P2RY11	0	0	0
NFATC3	0	0	0
NFATC4	0	0	0
EP300	1	1	0
SLMAP	0	0	0
PLIN3	0	0	0
KATNB1	1	0	0
MDM4	0	0	0
SYN3	0	0	0
PSMC1	0	0	0
PSMC4	0	0	0
PSMC6	0	0	0
APBB1	0	0	0
APBB2	0	0	0
APBB3	0	0	0
APBA2	0	0	0
ADAM9	1	0	0
ADAM12	0	0	0
LMOD1	0	0	0
NPHS1	1	0	0
GRIN2D	0	1	0
TRA2A	0	0	0
TRA2B	0	0	0
PON3	0	0	0
DMC1	0	0	0
SEPT5	0	0	0
IFRD2	0	0	0
CLCN6	0	0	0
CLCN7	1	1	0
SCARA3	0	0	0
GABRP	0	0	0
ACVR2B	0	0	0
FYB1	0	0	0
ARHGAP1	0	0	0
ALDH9A1	0	0	0
PLS1	0	0	0
RCN1	0	0	0
ATP5MC3	0	0	0
CCL21	0	0	0
KPNB1	0	1	0
PRKAA1	0	1	0
PRKAB1	0	1	0
PRKAB2	0	0	0
PRKAG1	0	1	0
PRKAG2	1	1	1
GNPAT	1	0	0
PIP5K1B	1	0	0
TNFRSF14	0	0	0
DUSP4	0	0	0
DUSP6	0	1	0
DUSP7	0	0	0
DDT	0	0	0
BACH1	0	0	0
RGPD8	0	0	0
PHOX2A	1	0	0
KCNN4	0	1	0
CCNB2	0	0	0
EFNA2	0	0	0
EPHB6	0	0	0
PI4KB	0	0	0
PCAP	1	1	0
KRT32	0	0	0
KRT33A	0	0	0
KRT33B	0	0	0
KRT34	0	0	0
KRT35	0	0	0
KRT83	1	1	0
KRT84	0	0	0
KRT85	1	0	0
DLL3	1	1	0
DNMT3A	0	1	0
CBX2	1	0	0
SLC49A4	1	0	0
RAD51C	1	0	0
SHOC2	0	1	0
REV3L	0	0	0
SNAPC4	0	0	0
NR6A1	0	0	0
F2RL3	0	0	0
HCN1	0	1	0
HCN2	0	0	0
SPG7	1	1	1
CORT	0	0	0
H1FX	0	0	0
HIST1H2AE	0	0	0
HIST1H2AI	0	0	0
HIST1H2AK	0	0	0
FHL3	0	0	0
HIST1H2AJ	0	0	0
HIST1H2AD	0	0	0
HIST1H2AL	0	0	0
HIST1H2AC	0	0	0
HIST1H2AB	0	0	0
HIST1H2AM	0	0	0
HIST2H2AC	0	0	0
HIST1H2BG	0	0	0
HIST1H2BD	0	0	0
HIST1H2BL	0	0	0
HIST1H2BN	0	0	0
HIST1H2BM	0	0	0
HIST1H2BB	0	0	0
HIST1H2BF	0	0	0
HIST1H2BE	0	0	0
HIST1H2BH	0	0	0
HIST1H2BI	0	0	0
HIST1H2BO	0	0	0
KIF5B	0	0	0
HIST1H3A	0	0	0
HIST1H3D	0	0	0
HIST1H3C	0	0	0
HIST1H3E	0	0	0
HIST1H3I	0	0	0
HIST1H3G	0	0	0
HIST1H3F	0	0	0
HIST1H3J	0	0	0
HIST1H3H	0	0	0
HIST1H3B	0	0	0
HIST3H3	0	0	0
KIF5A	0	1	1
HIST1H4A	0	0	0
HIST1H4D	0	0	0
HIST1H4F	0	0	0
HIST1H4K	0	0	0
HIST1H4J	0	0	0
HIST1H4C	0	0	0
HIST1H4H	0	0	0
HIST1H4B	0	0	0
HIST1H4E	0	0	0
HIST1H4L	0	0	0
HIST1H4G	0	0	0
HIST1H4I	0	0	0
GAS2	0	0	0
P2RX5	0	0	0
DNAJA1	0	0	0
PIK3C2B	0	0	0
PIK3CD	0	1	0
CD70	0	0	0
AOX1	1	0	0
GMNN	0	1	0
ARHGDIB	0	0	0
ARHGDIG	0	0	0
KIF3C	0	0	0
UBE2K	0	0	0
HIST1H2BC	0	0	0
BRD8	0	0	0
RNF4	0	0	0
ADGRV1	1	1	0
NUDT2	0	0	0
PTPRR	0	0	0
