gene	recessive	dominant	adult_onset
CALM3	0	0	0
CALML3	0	0	0
CALCRL	0	0	0
CACNA2D1	0	0	0
CACNA1C	1	1	0
CACNA1D	1	1	0
CACNB1	0	0	0
CACNA1S	1	1	0
CACNG1	0	0	0
S100A4	0	0	0
CAPS	0	0	0
CALD1	0	0	0
CANX	0	1	0
CAPN1	1	0	1
CAPN2	0	0	0
CAPN3	1	1	1
CASQ1	0	1	1
CASQ2	1	0	0
CD52	0	0	0
NUP214	0	1	0
CNR1	0	0	0
CA3	0	0	0
CA4	0	1	0
CA5A	1	0	0
CA7	0	0	0
CA6	0	0	0
CA1	0	1	0
CA8	1	0	0
CBR1	0	0	0
CES1	0	1	0
CEL	0	1	0
CPA1	0	0	0
CPA3	0	0	0
CPB1	0	0	0
CPE	0	0	0
CPM	0	0	0
CEACAM5	0	0	0
HAPLN1	1	1	0
MATN1	0	1	0
CSNK2A1	0	1	0
CSNK2B	0	0	0
CSNK2A2	0	1	0
CSN1S1	0	0	0
CSN2	0	0	0
CAT	1	0	0
TYRP1	1	1	0
CTAA1	0	1	0
CCA1	0	1	0
CCV	0	1	0
COMT	1	1	0
CTNNA1	0	1	0
CTNNB1	1	1	0
CTSB	0	0	0
CTSH	0	0	0
CTSG	0	0	0
GZMH	0	0	0
CTSD	1	0	0
CTSS	0	0	0
CTSL	0	0	0
CTSE	0	0	0
CUX1	0	0	0
CEBPA	0	1	0
CEBPD	0	0	0
CDKN1A	0	1	0
CKS1B	0	0	0
CKS2	0	0	0
NCAM1	0	1	0
CDK1	0	1	0
MCM2	0	1	0
CDC27	0	0	0
CDC25A	0	0	0
CDC34	0	0	0
CDC25B	0	0	0
AF8T	0	0	0
CDK11A	0	0	0
CDC42	0	1	0
CDK2	0	1	0
CNBP	1	1	0
RBL1	0	0	0
MORF4	1	1	0
CENPA	0	0	0
CENPB	0	0	0
CENPC	0	0	0
CENPE	1	0	0
CDR2	0	0	0
CP	1	0	0
HSPD1	1	1	0
CHN1	0	1	0
CLCN1	1	1	0
CCK	0	0	0
CCKAR	0	0	0
CCKBR	0	0	0
CYP7A1	0	1	0
CETP	1	1	0
CYP11A1	0	1	0
CHAT	1	0	0
CHKA	0	0	0
CHRM2	0	0	0
CHRM3	1	0	0
CHRM4	0	0	0
CHRM5	0	0	0
CHRNA2	0	1	0
CHRNA3	0	1	0
CHRNA4	0	1	0
CHRNA5	0	0	0
CHRNB2	0	1	0
CHRNB3	0	0	0
CHRNB4	0	0	0
CHRM1	0	0	0
CHRNA7	0	0	0
VCAN	0	1	0
CSH2	0	0	0
CHML	0	0	0
CGA	0	0	0
CGB3	0	1	0
NHCP1	0	0	0
CTRL	0	0	0
CTRB1	0	0	0
CHGA	0	0	0
CHGB	0	0	0
SCG2	0	0	0
CMA1	0	0	0
CYMP	0	0	0
CNTF	0	0	0
CNTFR	0	0	0
CS	0	0	0
CLTC	0	0	0
CLTA	0	0	0
CLTB	0	0	0
ITPRID2	0	0	0
OFC1	1	1	0
CXB3S	0	0	0
COL4A3	1	1	0
COL4A2	0	1	1
CLPS	0	0	0
COL10A1	0	1	0
COL7A1	1	1	0
COL4A1	0	1	1
COL4A4	1	1	0
COL2A1	1	1	0
COL1A1	1	1	0
COL1A2	1	1	0
COL19A1	0	0	0
COL3A1	1	1	0
COL5A2	0	1	0
COL9A1	1	1	0
COL5A1	0	1	0
COL5A3	0	0	0
COL6A1	1	1	1
COL6A2	1	1	1
COL6A3	1	1	1
COL8A1	0	0	0
COL8A2	0	1	0
COL9A2	1	1	0
COL9A3	1	1	0
COL11A1	1	1	0
COL11A2	1	1	0
COL12A1	1	1	0
COL14A1	0	1	0
COL15A1	0	0	0
COL16A1	0	0	0
COL18A1	1	0	1
COL1AR	0	0	0
COL13A1	1	0	0
MMP1	1	1	0
MMP8	0	0	0
MMP2	1	1	0
MMP9	1	1	0
CSF1	1	0	0
MLH1	1	1	0
DCC	1	1	0
MME	0	1	1
C1QA	1	0	0
C1QB	1	0	0
C1QC	1	0	0
CD93	0	0	0
C1S	0	0	0
CR1	0	0	0
CR2	1	0	0
C3	1	1	0
C4A	1	0	0
C4B	1	0	0
C4BPA	0	0	0
C4BPB	0	0	0
C5	1	1	0
CD46	1	1	0
C8G	0	0	0
C9	0	0	0
C8A	1	0	0
C8B	1	0	0
ITGAM	0	0	0
CCN2	0	0	0
PPBP	0	0	0
GJB2	1	1	0
GJA4	0	0	0
GJA5	0	1	0
GJA1	1	1	0
GJA3	0	1	0
FEB1	1	1	0
CBFB	0	1	0
CNA1	1	1	0
HCVS	0	1	0
